nombre,username,contenido,comentarios,reacciones,compartido
Guillermo Lasso,@LassoGuillermo,"·En @EstebanBernalB, Azuay tendrá a un Gobernador dedicado y comprometido con su trabajo, pero sobre todo a un azuayo honesto y agente de cambio. Trabajaremos con una visión de desarrollo provincial que logrará bienestar y prosperidad en Azuay. #ElEcuadorDelEncuentro ",255,1.9K,433
Guillermo Lasso,@LassoGuillermo,"·Como demócrata, creo en la belleza de los sueños y su poder para inspirarnos. Creo en el derecho que tenemos a un entorno donde podamos dar lo mejor de nuestros talentos. 

En esta credencial vive la voluntad de un pueblo que se decidió por el cambio.#ElEcuadorDelEncuentro ",687,6.4K,1K
Guillermo Lasso,@LassoGuillermo,"·A las 10h30 los invito a ser parte de la entrega de credenciales de Presidente y Vicepresidente de la República por parte del @cnegobec.

Acompáñennos a celebrar la democracia y la voluntad popular. FB YT #ElEcuadorDelEncuentro",153,1.7K,371
Guillermo Lasso,@LassoGuillermo,"·Guayas necesita un administrador que haga frente a la inseguridad y a la falta de oportunidades. Como Gobernador, @VicenteTaianoA garantizará el orden, políticas públicas efectivas y los derechos de los ciudadanos.

¡Encontrémonos por la seguridad y el bienestar de Guayas! ",698,4K,848
Guillermo Lasso,@LassoGuillermo,"·¡7 días para el 24 de mayo!

Estamos listos para empezar el camino hacia un Ecuador de oportunidades. #ElEcuadorDelEncuentro",668,6.7K,865
Guillermo Lasso,@LassoGuillermo,"·En el Ministerio del Ambiente y Agua estará @GustavoManriq_M, quien cuenta con una excelente trayectoria profesional en cuidado ambiental y prácticas sostenibles. 

Tenemos el compromiso de ser responsables y proteger al ambiente y las comunidades. #ElEcuadorDelEncuentro ",248,3.4K,702
Guillermo Lasso,@LassoGuillermo,"·En el Ministerio de Telecomunicaciones y de la Sociedad de la Información estará @vmaino como Ministra, una gran ecuatoriana comprometida con el desarrollo del país. 

Nuestra misión es un gobierno abierto y lograr un Ecuador 100% digital. #EncontrémonosPorLaConectividad",216,2.5K,590
Guillermo Lasso,@LassoGuillermo,"·.@nielsolsenp será el Ministro de Turismo. Es un gran emprendedor dedicado a la reactivación y la prosperidad del sector. 

Convertiremos al turismo en motor de desarrollo a través de una gestión sostenible. ¡Ecuador será potencia turística! #EncontrémonosPorElTurismo",496,6.2K,959
Guillermo Lasso,@LassoGuillermo,"·.@mariomancino será el Gobernador de Loja, quien pone una prestigiosa carrera profesional al servicio de su provincia. La Gobernación de Loja tendrá un gran servidor que trabajará incansablemente por su desarrollo y prosperidad de manera eficiente y transparente.",376,4.4K,749
Guillermo Lasso,@LassoGuillermo,"·Extiendo mis felicitaciones a @GuadalupeLlori, la nueva Presidenta de la Asamblea Nacional. Reitero mi compromiso a la Función Legislativa de trabajar en conjunto por el Ecuador. Éxitos en su gestión.",1K,16.3K,3.3K
Guillermo Lasso,@LassoGuillermo,"·¡Hoy Pallatanga conmemora 35 años de cantonización! Felicidades a su maravillosa gente por hacer de este cantón una tierra de oportunidades. Juntos lograremos la prosperidad de Pallatanga, garantizando empleo, salud, educación, seguridad y bienestar para todos los habitantes.",468,1.7K,191
Guillermo Lasso,@LassoGuillermo,"·.@ivonnebaki continuará siendo la Embajadora de Ecuador en Estados Unidos. Trabajaremos para fortalecer las relaciones entre ambos países y garantizar el bienestar de los ecuatorianos en EEUU. Estamos comprometidos con la apertura al mundo, la cooperación y el desarrollo.",1.3K,4.9K,812
Guillermo Lasso,@LassoGuillermo,"·Todos los ecuatorianos anhelan una casa propia.

Junto a @dariovherrera en el Ministerio de Desarrollo Urbano y Vivienda vamos a construir hogares para miles de familias. Garantizaremos viviendas dignas a través de una gestión eficiente y solidaria.#EncontrémonosPorLaVivienda",184,1.3K,299
Guillermo Lasso,@LassoGuillermo,"·La vacunación es prioridad. Vamos a firmar un acuerdo de provisión de vacunas Sputnik V con Rusia para fortalecer nuestro plan. Agradecemos a las autoridades rusas por su disposición y apertura. 

Este es un gran encuentro por la salud y la reactivación del Ecuador.",842,10.9K,1.7K
Guillermo Lasso,@LassoGuillermo,"·En #ElEcuadorDelEncuentro vamos a crear oportunidades para lograr la prosperidad de todas las familias ecuatorianas. 

Nuestra meta es un país moderno, con libertad para emprender, atraer inversión y generar empleo. ",247,2K,317
Guillermo Lasso,@LassoGuillermo,"·Pronto empezamos el recorrido hacia un mejor Ecuador, uno con empleo, bienestar y seguridad para todos. 

¡El cambio lo logramos juntos! ",801,7.2K,873
Guillermo Lasso,@LassoGuillermo,"·La educación crea oportunidades, brinda bienestar y seguridad. Nuestra meta con @mariabrownp para el Ministerio de Educación es modernizar el sistema educativo y trabajar por la prosperidad de todos los estudiantes y docentes. #EncontrémonosPorLaEducación",384,1.4K,265
Guillermo Lasso,@LassoGuillermo,"·Agradezco a la Presidenta del CNE @DianaAtamaint por poner a disposición la institución y su compromiso con colaborar al proceso de vacunación. Trabajaremos en conjunto para vacunar a la ciudadanía. La salud y la vida de los ecuatorianos son prioridad.Quote TweetDiana Atamaint@DianaAtamaintMay 6Acogemos con entusiasmo la iniciativa del presidente electo @LassoGuillermo. El @cnegobec pone a disposición padrón electoral, información de recintos electorales y aplicativo móvil para que en una acción interinstitucional generemos las condiciones y todos en  nos vacunemos.",226,2.4K,570
Guillermo Lasso,@LassoGuillermo,"·El Ministerio de Economía y Finanzas estará a cargo de Simón Cueva, un gran profesional comprometido con el futuro del Ecuador. 

Nuestra gestión será responsable y solidaria con la ciudadanía. Vamos a poner en orden la economía con sentido social.  #ElEcuadorDelEncuentro",506,5.4K,885
Sebastián Palacios,@SebasPalaciosSP,"·La transformación del deporte ecuatoriano está por llegar. 

Juntos vamos a lograrlo  #EncontrémonosPorElDeporteQuote TweetGuillermo Lasso@LassoGuillermoMay 5El deporte es vida, salud y bienestar. @SebasPalaciosSP acompañará a los deportistas desde el Ministerio del Deporte para que cumplan con sus metas y objetivos. El talento deportivo en Ecuador tiene un gran potencial y recibirá todo nuestro apoyo. #EncontrémonosPorElDeporte",68,662,104
Guillermo Lasso,@LassoGuillermo,"·El deporte es vida, salud y bienestar. @SebasPalaciosSP acompañará a los deportistas desde el Ministerio del Deporte para que cumplan con sus metas y objetivos. El talento deportivo en Ecuador tiene un gran potencial y recibirá todo nuestro apoyo. #EncontrémonosPorElDeporte0:5334.4K views",117,1K,188
Guillermo Lasso,@LassoGuillermo,"·La protección social, la inclusión económica y la lucha contra el hambre y la desnutrición infantil son ejes centrales en los planes, programas y proyectos para el MIES. 

Junto a @maemontanov, mejoraremos las condiciones de vida en Ecuador. #EncontrémonosPorLaInclusión",240,1.8K,398
Guillermo Lasso,@LassoGuillermo,"·Somos un país creativo con gran riqueza artística y cultural. Desde el Ministerio de Cultura y Patrimonio, con @MaElenaMachucaM daremos apoyo para crear oportunidades de bienestar y que el talento de cada ecuatoriano sea debidamente recompensado.  #EncontrémonosPorLaCultura",93,850,178
María Elena Machuca,@MaElenaMachucaM,"·Presidente @LassoGuillermo el camino está trazado.

Nuestra riqueza cultural y patrimonial es motivo de orgullo para todo el Ecuador.

Y con ese orgullo nos volveremos a mostrar al mundo.#EncontrémosPorLaCultura Quote TweetGuillermo Lasso@LassoGuillermoMay 3Con @MaElenaMachucaM en el Ministerio de Cultura y Patrimonio nos enfocaremos en: Crear el Sistema Nacional de Impulso Creativo  La promoción y mejora de incentivos tributarios   Apoyo integral para la reactivación de la economía naranja#EncontrémonosPorLaCultura",40,425,85
Guillermo Lasso,@LassoGuillermo,"·Octubre de 1981 fue la última vez que estuve con mi familia en mi primera casa en el Barrio Orellana de Guayaquil, donde nací y crecí junto a mis padres y hermanos. Siempre estaré agradecido por todos los aprendizajes, el amor y cariño que recibí en este hogar.",212,4K,407
Guillermo Lasso,@LassoGuillermo,·Hoy regresé a la casa donde viví mi niñez. Un lugar lleno de recuerdos y nostalgia. ,471,8.3K,959
Guillermo Lasso,@LassoGuillermo,"·Como ciudadanos en la función pública, debemos servir con transparencia y solidaridad. En el Ecuador del encuentro, siempre actuaremos por el bienestar de todos. 

Nuestro Gobierno va a trabajar permanentemente junto a los GADs de los 221 cantones para sacar adelante al país. ",115,1.2K,250
Guillermo Lasso,@LassoGuillermo,"·En la Secretaría del Deporte, @SebasPalaciosSP se encargará de crear espacios junto a la sociedad civil para el desarrollo deportivo. El apoyo integral a niños y jóvenes, atletas y paratletas, es fundamental. Trabajaremos en: Academias deportivas en barrios populares",105,1K,141
Guillermo Lasso,@LassoGuillermo,"· Respaldo estatal a deportistas en educación superior Promoción de ligas barriales, intercolegiales y universitarias Planes y programas deportivos para el nivel formativo y de alto rendimiento 

¡El deporte es factor del encuentro! #EncontrémonosPorElDeporte",38,551,91
Guillermo Lasso,@LassoGuillermo,"·El deporte es una herramienta de desarrollo. Desde la Secretaría del Deporte, que la transformaremos en Ministerio, vamos a impulsar el deporte como forma de vida, ecosistema y generador de referentes. 

Junto a @SebasPalaciosSP, será una realidad. #EncontrémonosPorElDeporte0:3137.8K views",110,915,134
Guillermo Lasso,@LassoGuillermo,·Mi postura sobre lo resuelto por la Corte Constitucional el día de hoy.,2.1K,18.6K,5.2K
Guillermo Lasso,@LassoGuillermo,"·Hoy mantuve un encuentro con representantes de @AMEcuador y Alcaldes del país, quienes conocen de primera mano las necesidades y viven los problemas cotidianos de los cantones. Actuaremos guiados única y exclusivamente por ese mandato de construir el Ecuador del Encuentro. ",63,1K,157
Guillermo Lasso,@LassoGuillermo,"·Con el fin de que puedan cumplir con sus labores, concretaremos las siguientes acciones:

◦ Transparencia en compromisos con GADs 
◦ Colaboración en Plan de Vacunación 
◦ Planes de seguridad ciudadana 
◦ Proyectos de agua potable 
◦ Generación de empleo",27,550,88
Guillermo Lasso,@LassoGuillermo,"·De nuestro lado encontrarán un Gobierno Nacional que los respaldará incondicionalmente en todo objetivo que signifique el progreso de los ecuatorianos. En mí tendrán, más que a un Presidente, a un servidor. ¡Trabajaremos juntos para sacar adelante al Ecuador! ",62,600,93
Guillermo Lasso,@LassoGuillermo,·Los Ministros del Frente Social ,326,3.3K,552
Guillermo Lasso,@LassoGuillermo,"·Agradezco al Presidente @EmmanuelMacron por sus buenos deseos para el Ecuador. Fortaleceremos la cooperación con Francia a través de una visión de desarrollo, bienestar y prosperidad. Celebro este compromiso de robustecer nuestra relación bilateral. ",133,4.7K,679
